model,case_id,trace_id,base_is_correct,sentence_index,n_sentences,mentions_final,mentions_other,base_answer,final_words,n_other_entities
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,0,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,1,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,2,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,3,24,0,1,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,4,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,5,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,6,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,7,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,8,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,9,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,10,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,11,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,12,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,13,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,14,24,0,1,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,15,24,1,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,16,24,1,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,17,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,18,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,19,24,0,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,20,24,1,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,21,24,1,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,22,24,1,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,ee1afd8dfd3ddf52704ccdfbbee09fd4ae3e9aa980578ee05ce86b54000fe45e,True,23,24,1,0,depression,depression,86
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,0,11,0,0,dementia,dementia,85
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,1,11,0,0,dementia,dementia,85
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,2,11,0,1,dementia,dementia,85
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,3,11,0,0,dementia,dementia,85
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,4,11,0,0,dementia,dementia,85
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,5,11,0,0,dementia,dementia,85
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,6,11,0,0,dementia,dementia,85
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,7,11,1,0,dementia,dementia,85
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,8,11,0,0,dementia,dementia,85
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,9,11,1,0,dementia,dementia,85
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,10,11,0,1,dementia,dementia,85
