rank,model,trace_id,sentence_index,token_position,tvd_before,tvd_after,tvd_drop,kind,sentence
1,deepseek-r1-distill-qwen-1.5b,4caec528381fd2f051aa9a0fa3127f59ad6d3bccf33b6f2ad881631fb7827d8c,21,0.8081805359661495,1.0000000000000002,0.0,1.0000000000000002,first,"Considering the patient's symptoms, lab findings, and medical history, the most likely diagnosis is **myogenic cardiomyopathy**. Myogenic cardiomyopathy is characterized by a loss of myocytes, leading to reduced ventricular function and ejection fraction."
2,deepseek-r1-distill-qwen-1.5b,653b3b14990f8c972536c22eeab1cfc8e1fac63c44a9c3a0514f4182f5853d74,13,0.6616052060737527,1.0,0.0,1.0,repeat,"Considering all these symptoms and findings, the most likely diagnosis is **pedal edema**. Pedal edema often presents with fatigue, distension in the legs, and sometimes ascites."
3,deepseek-r1-distill-qwen-1.5b,15dfa87102e8e2c566ed0f9603d7a0448011278af872bc95254c01a6ef10d486,10,0.5803571428571429,1.0,0.0,1.0,other,"Considering all these factors, the most likely diagnosis is **catharticomyoma**. Catharticomyoma is a type of lymphatic exudate, which is clear fluid that can cause eye pain and swelling."
4,deepseek-r1-distill-qwen-1.5b,35d77f580a13d3d70b77a41553c5952d6c2d66085792fc14587e1103ef3d8cec,13,0.6637168141592921,1.0,0.0,1.0,other,"Delayed bone age is often linked to conditions like Ehlers-Danlos syndrome, which is a rare condition affecting the bone development of children."
5,deepseek-r1-distill-llama-8b,3d23548e8682cb1e0bca8b1d0330e84b6a16b59efdf6a835deddc07b9bcf7e5d,23,0.8522920203735145,1.0,0.0,1.0,first,"So, I'm leaning towards diffuse glomerulonephritis."
6,deepseek-r1-distill-llama-8b,163a48698ba14162461022c9ebe15f0729398c5a078a2fa6d6f5d3d5c6a0fbf4,31,0.7676056338028169,1.0,0.0,1.0,first,"Putting this together, the skin changes are consistent with fibrosing dermopathy, which is a feature of chronic graft-versus-host disease (GVHD)."
7,deepseek-r1-distill-qwen-14b,2f4398d35e0e050a5ff9e5815b796810208507c473a696c5ceeeec927f2ddf95,7,0.4021447721179624,1.0,0.0,1.0,first,One condition that comes to mind is eruptive hemangioma.
8,deepseek-r1-distill-llama-8b,a0a3efb087814ebb57ee614b38a97cd7f93b645d79b81481a6d2de7ee7150cc3,9,0.2985386221294363,0.9500000000000002,0.0,0.9500000000000002,first,"The fact that there's a mural nodule suggests a cystic tumor with a solid component, which is typical for a pilocytic astrocytoma."
9,deepseek-r1-distill-qwen-1.5b,9fc8c5306fb9e7475699cf84460f81ec9615f3c47084d9ff99c14928f883de7b,8,0.3541666666666667,1.0,0.05,0.95,other,This is a red flag because elevated potassium is often seen in conditions like sepsis or septicemia.
10,deepseek-r1-distill-llama-8b,1888bd01d49493572312418ba85aaf4948306d10aeb02650bf146ca7a7df9e8c,20,0.8705882352941177,0.95,0.0,0.95,first,"Putting it all together, the most likely diagnosis is a hip abductor strain."
11,deepseek-r1-distill-llama-8b,4e28e65dc3e5a3d2fe5c67886131d2692b734090f4ed7cdf3dc694b138bbb05e,18,0.73,1.0,0.05,0.95,first,"The rash and purpuric lesions make me think of leukocytoclastic vasculitis (LCV), which often presents with skin lesions and systemic symptoms like fever or joint pain."
12,huatuogpt-o1-8b,aefbc532e591220beed896008fb5eaa78248433822a1a7a20b7ef33eaa1e3e82,19,0.7817258883248731,0.95,0.0,0.95,first,"They're classic for something called vestibular schwannoma, or acoustic neuroma."
13,huatuogpt-o1-8b,9a2c88d7ebee353d099c60a9ba558f5accf0be74785125b0f5fadf01bff6fb46,16,0.8571428571428571,0.95,0.0,0.95,first,"Given these details, I'm leaning towards uterine inversion as the most likely issue."
